Serial Number,Excel Timestamp,Station,Wafer ID,PCBA ID,ChassisSlot,CNR,CSO-,CTB,CSO+,LIP Peak Power,Wavelength,SMSR,SMSR Iop,Flat,Chassis,Slot,Slot 2dig
BFHA985,9/20/17 1:30 AM,322,21016350,H17031800026,127,52.25007034,59.67508354,67.64241737,48.19858993,,1531.124,25.18,48.77,0.4125,1,27,27
BFI1349,9/20/17 1:27 AM,322,21429350,H17031800120,126,,,,,,,,,0.51992,1,26,26
BFI0666,9/20/17 1:22 AM,322,21386350,H17031800168,125,52.08785847,62.85996305,64.21576856,50.04206159,,1554.122,35.35,54.79,0.66837,1,25,25
BFI0536,9/20/17 1:18 AM,322,21599350,DQ0H1186,124,,,,,,,,,0.39492,1,24,24
BFI0484,9/20/17 1:12 AM,322,21599350,H17031800095,123,52.24259433,60.78757491,66.08627577,49.20463498,,1531.906,32.35,54.8,0.27578,1,23,23
BFHC261,9/20/17 1:07 AM,322,21273350,DQ0H0614,122,,,,,,1539.771,30.21,55.42,9.63514,1,22,22
BFHC284,9/20/17 1:01 AM,322,21273350,DQ0H1845,121,52.42548578,57.20657225,68.5,44.5127474,,1539.768,33.11,52.39,0.41055,1,21,21
BFI1973,9/20/17 12:55 AM,322,21014350,DQ0H2045,116,52.41739146,57.36845838,70.07026451,43.68052714,,1531.91,4.12,43.32,0.31484,1,16,16
BFHB105,9/20/17 12:44 AM,322,21273350,27,114,,,,,,,,,0.47695,1,14,14
BFI1413,9/20/17 12:26 AM,322,21296350,DQ0H0464,111,,,,,,1536.602,29.26,48.13,20.48867,1,11,11
BFHC064,9/20/17 12:21 AM,322,21261350,H17031800200,110,52.25007034,63.55803419,63.98652833,53.07792462,,1530.328,23.61,48.91,0.55703,1,10,10
BFHB847,9/20/17 12:17 AM,322,21463350,H17031800190,109,52.25007034,59.90541262,65.70070802,49.03463498,,1542.135,17.14,49.35,0.42813,1,9,09
BFHB788,9/20/17 12:11 AM,322,21463350,H17031800063,108,52.42785847,59.3061994,63.88811755,47.35098133,,1542.138,33.83,53.92,0.48672,1,8,08
BFH7488,9/20/17 12:06 AM,322,21298350,H17031800191,106,52.25007034,63.07940367,63.38991809,54.10618984,,1534.247,33.8,53.39,0.54921,1,6,06
BFH8333,9/19/17 6:06 PM,322,21194350,H17031800200,107,52.93597234,61.28757491,65.94066712,48.70085504,,1558.984,31.58,54.08,0.44669,1,7,07
BFHB835,9/19/17 6:02 PM,322,21463350,DQ0H0464,106,52.75007034,59.64888265,68.17,44.01092271,,1542.141,34.81,53.09,0.24648,1,6,06
BFI0567,9/19/17 5:35 PM,322,21599350,64,128,52.05892478,57.05330673,68.5,45.18669625,19.86459378,1531.905,27.79,53.53,0.42422,1,28,28
BFI1345,9/19/17 5:33 PM,322,21429350,H17031800005,516,53.10391926,59.29473922,62.03882409,45.17944268,18.47940505,1554.128,35.25,53.63,0.61953,5,16,16
BFI0889,9/19/17 5:31 PM,322,21386350,H17031800161,112,53.78131488,56.44932652,60.78304784,44.84009925,16.28707583,1554.137,30.79,53.92,0.5043,1,12,12
BFI0892,9/19/17 5:28 PM,322,21386350,DQ0H0685,127,53.30083503,55.95415879,70.09772082,40.83590309,15.89304182,1554.122,34.09,55.15,0.35782,1,27,27
BFI0461,9/19/17 5:26 PM,322,21599350,7,206,,,,,,,,,,2,6,06
BFH7038,9/19/17 5:25 PM,322,21255350,17031800168,205,,,,,,,,,,2,5,05
BFHC267,9/19/17 5:25 PM,322,21273350,H17031800063,232,52.57739146,64.04576856,62.75435174,52.90792462,18.70864911,1539.767,33.88,54.8,0.45547,2,32,32
BFI0508,9/19/17 5:24 PM,322,21599350,48,110,52.58302569,62.43788901,67.98760538,49.36888005,25.68316148,1531.9,30.92,47.22,0.23086,1,10,10
BFH8250,9/19/17 5:25 PM,322,21560350,H17031800041,231,,,,,,,,,,2,31,31
BFI0460,9/19/17 3:43 PM,322,21599350,H17031800060,230,52.22541743,59.88913078,68.49955223,50.54711268,25.07367849,1531.901,33.43,50.77,0.35196,2,30,30
BFI0507,9/19/17 5:23 PM,322,21599350,H17031800047,126,52.74739146,61.84685762,65.1799599,49.53602336,23.12826756,1531.899,12.23,46.24,0.34219,1,26,26
BFHC204,9/19/17 3:36 PM,322,21273350,H17031800148,229,52.92548578,62.22040678,60.1361994,54.09451517,16.21240789,1539.772,30.87,49.41,0.73868,2,29,29
BFI0862,9/19/17 3:30 PM,322,21386350,13,228,52.58007034,58.96473922,69.09591494,47.68541291,21.89272515,1554.126,35.39,52.69,0.53554,2,28,28
BFI0476,9/19/17 5:18 PM,322,21599350,27,109,53.44217982,57.34643146,69.87480831,42.84835992,19.85313942,1531.909,33.64,54.9,0.14492,1,9,09
BFHC215,9/19/17 3:23 PM,322,21273350,DQ0H0771,227,52.74739146,58.77248159,66.48096572,44.51178619,14.12739991,1539.762,35.77,56.68,0.59024,2,27,27
BFHA037,9/19/17 5:16 PM,322,2159935,H17031800186,125,52.58785847,61.49704967,64.31446272,50.21364805,21.33526361,1531.898,24.78,48.47,0.39687,1,25,25
BFI0503,9/19/17 5:12 PM,322,21599350,DQ0H2045,108,52.05892478,56.16327607,69,45.34797557,25.36743547,1531.901,30.19,51.04,0.29531,1,8,08
BFH5704,9/19/17 3:16 PM,322,21560350,H17031800103,226,53.10391926,59.45304784,63.47558881,45.84665777,20.34924868,1558.168,23.8,50.55,0.46914,2,26,26
