Batch,Chip,Date,SN
10296210,WH137,2017-03-17 00:40:00,BFC2474
7247210,DA181,2017-03-17 01:54:00,BFC2455
12863210,MJ136,2017-03-16 23:04:00,BFC2450
7712210,CP105,2017-03-17 01:58:00,BFC2430
8909210,CO185,2017-03-16 21:39:00,BFC2415
8909210,EC196,2017-03-16 22:45:00,BFC2413
8869210,FK157,2017-03-17 00:52:00,BFC2406
8869210,FC153,2017-03-17 02:00:00,BFC2405
10308210,TJ155,2017-03-16 10:50:00,BFC2395
10308210,TJ159,2017-03-16 05:54:00,BFC2394
11508230,CJ147,2017-04-21 02:35:00,BFC2373
11787230,SJ133,2017-04-21 02:02:00,BFC2370
10308210,CJ141,2017-03-17 01:57:00,BFC2364
7162210,FN150,2017-03-17 01:49:00,BFC2350
10001290,JF124,2017-04-20 19:20:00,BFC2179
8462300,DH209,2017-03-16 20:57:00,BFC2175
8462300,DM200,2017-03-16 23:14:00,BFC2174
12348300,UJ172,2017-03-16 11:08:00,BFC2157
8478290,EE211,2017-03-16 11:03:00,BFC2155
12715280,EH098,2017-03-16 12:20:00,BFC2141
12449280,XH084,2017-03-16 12:25:00,BFC2136
10438210,EH191,2017-08-02 07:45:00,BFC2054
11230210,DD187,2017-03-16 23:25:00,BFC2038
12814210,YE094,2017-03-16 21:25:00,BFC2016
11902220,FH067,2017-03-16 23:09:00,BFC1997
11902220,FH073,2017-03-16 23:22:00,BFC1996
11902220,UF087,2017-03-16 23:20:00,BFC1992
12200220,HF178,2017-03-16 21:31:00,BFC1987
12367260,SH124,2017-03-16 21:54:00,BFC1860
12367260,WH150,2017-03-16 22:40:00,BFC1848
5496270,CJ165,2017-03-16 21:49:00,BFC1822
12451260,MH053,2017-03-16 21:35:00,BFC1819
12087510,MF109,2017-03-16 12:23:00,BFC1264
12084510,SF086,2017-03-17 01:12:00,BFC1261
12084510,WF092,2017-04-20 22:56:00,BFC1256
12084510,WF086,2017-04-20 23:07:00,BFC1255
12084510,JH072,2017-03-17 01:15:00,BFC1250
12084510,WF073,2017-03-17 01:24:00,BFC1246
12084510,CH084,2017-04-20 23:06:00,BFC1245
8741210,EN190,2017-03-16 22:17:00,BFC1167
8745210,EO165,2017-03-16 23:16:00,BFC1164
8708210,FI132,2017-03-16 22:57:00,BFC1150
11466210,EF157,2017-03-16 23:29:00,BFC1146
12373210,UF080,2017-03-17 00:56:00,BFC1142
12655210,HK158,2017-03-16 21:18:00,BFC1135
12705210,WE167,2017-08-23 15:54:00,BFC1120
12705210,WE159,2017-03-16 23:12:00,BFC1119
12705210,WE145,2017-03-16 21:07:00,BFC1112
11230210,DB170,2017-03-16 22:19:00,BFC1086
12624210,NF167,2017-03-17 00:36:00,BFC1003
8522210,EP198,2017-03-16 21:02:00,BFC0254
8522210,FH198,2017-03-16 21:04:00,BFC0248
10404210,GG172,2017-03-16 23:27:00,BFB3689
12051510,NH060,2017-03-16 21:56:00,BFB3473
7247210,FO158,2017-03-16 22:11:00,BFB2550
7712210,CP154,2017-03-17 01:44:00,BFB2545
11994510,VE183,2017-03-16 21:15:00,BFB1758
7813220,DC095,2017-03-17 00:32:00,BFB1099
12618210,UE154,2017-03-16 22:20:00,BFB0281
12852240,XF143,2017-03-15 22:20:00,CFBB231
11696500,WF166,2017-03-15 23:36:00,CFBA962
11924170,FH094,2017-03-15 21:48:00,CFB8720
12919240,MJ057,2017-03-15 23:51:00,CFB1105
8930290,DD164,2017-03-16 00:34:00,CFAG584
10332250,JJ087,2017-03-16 04:56:00,BFC3598
9704260,JJ158,2017-03-16 05:11:00,BFC3593
